ID,이름,설명*,역할,패시브,기본속도,능력,스킬 타임,쿨타임,획득 방법 재화,구매가격,구매 최소 평점,채용 필요 설비 or 아이템,강화 수단,강화 가격,강화 조건 평점,LV.2,강화 가격,강화 조건 평점,LV.3,강화 가격,강화 조건 평점,LV.4,강화 가격,강화 조건 평점,LV.5,,,
STAFF01,종업원 지지,부지런하고 성실하게 손님을 맞이하는 친근한 지지.,웨이터,음식을 손님에게 자동 배달(기본 속도6.0),6,버닝(패시브 x2.0 배속),7초,200초,코인,4500,10,,코인,6750,20,음식 자동 배달(기본 속도6.5),10125,40,음식 자동 배달(기본 속도7.0),15187,60,음식 자동 배달(기본 속도7.5),22780,80,음식 자동 배달(기본 속도8.0),,,
STAFF02,웨이터 지지,깔끔한 정장 차림으로 정중한 서비스를 제공하는 지지.,웨이터,음식을 손님에게 자동 배달(기본 속도7.0),7,버닝(패시브 x2.0 배속),10초,200초,코인,15000,50,,코인,22500,80,음식 자동 배달(기본 속도7.5),33750,110,음식 자동 배달(기본 속도8.0),50625,140,음식 자동 배달(기본 속도8.5),75937,170,음식 자동 배달(기본 속도9.0),,,
STAFF03,햄버거 지지,햄버거 모자와 유쾌한 복장으로 웃음을 전하는 지지.,웨이터,음식을 손님에게 자동 배달(기본 속도8.0),8,버닝(패시브 x2.0 배속),13초,150초,코인,120000,350,,코인,180000,525,음식 자동 배달(기본 속도8.5),270000,700,음식 자동 배달(기본 속도9.0),405000,875,음식 자동 배달(기본 속도9.5),607500,1050,음식 자동 배달(기본 속도10.0),,,
STAFF04,차이나 지지,밝고 명랑한 차이나풍 복장의 활발한 지지.,웨이터,음식을 손님에게 자동 배달(기본 속도9.0),9,버닝(패시브 x2.0 배속),16초,150초,코인,1050000,4500,,코인,1575000,6750,음식 자동 배달(기본 속도9.5),2362500,9000,음식 자동 배달(기본 속도10.0),3543750,11250,음식 자동 배달(기본 속도10.5),5315625,13500,음식 자동 배달(기본 속도11.0),,,
STAFF05,지지 도령,강한 책임감을 품은 무술 도복 차림의 장난꾸러기 지지.,웨이터,음식을 손님에게 자동 배달(기본 속도10.0),10,버닝(패시브 x2.0 배속),18초,150초,코인,2800000,7800,,코인,4200000,11700,음식 자동 배달(기본 속도10.5),6300000,15600,음식 자동 배달(기본 속도11.0),9450000,19500,음식 자동 배달(기본 속도11.5),14175000,23400,음식 자동 배달(기본 속도12.0),,,
STAFF06,초보 매니저 포야,서툴지만 열심히 일하는 친근한 포야.,매니저,테이블로 손님 자동 배치(3.0초),6,버닝(패시브 x2.0 배속),7초,150초,코인,1000,0,,코인,1500,60,손님 자동 배치(2.8초),2250,80,손님 자동 배치(2.6초),3375,100,손님 자동 배치(2.4초),5062,120,손님 자동 배치(2.2초),,,
STAFF07,매니저 포야,온화한 미소로 손님을 맞으며 매끄러운 식당 운영을 책임지는 포야.,매니저,테이블로 손님 자동 배치(2.7초),6,버닝(패시브 x2.0 배속),10초,150초,코인,80000,200,,코인,120000,300,손님 자동 배치(2.5초),180000,400,손님 자동 배치(2.3초),270000,500,손님 자동 배치(2.1초),405000,600,손님 자동 배치(1.9초),,,
STAFF08,팬 케이크 포야,달콤하게 손님을 맞이하는 포야.,매니저,테이블로 손님 자동 배치(2.4초),6,버닝(패시브 x2.0 배속),13초,150초,코인,150000,650,,코인,225000,975,손님 자동 배치(2.2초),337500,1300,손님 자동 배치(2.0초),506250,1625,손님 자동 배치(1.8초),759375,1950,손님 자동 배치(1.6초),,,
STAFF09,책사 포야,냉철한 전략가 포야. 성이 제갈일 것만 같다.,매니저,테이블로 손님 자동 배치(2.1초),6,버닝(패시브 x2.0 배속),16초,150초,코인,130000,6800,,코인,195000,10200,손님 자동 배치(1.9초),292500,13600,손님 자동 배치(1.7초),438750,17000,손님 자동 배치(1.5초),658125,20400,손님 자동 배치(1.3초),,,
STAFF10,포상궁,궁에서 갈고닦은 솜씨로 레스토랑의 질서를 세우겠어!,매니저,테이블로 손님 자동 배치(1.8초),6,버닝(패시브 x2.0 배속),18초,100초,코인,2500000,7500,,코인,3750000,11250,손님 자동 배치(1.6초),5625000,15000,손님 자동 배치(1.4초),8437500,18750,손님 자동 배치(1.2초),12656250,22500,손님 자동 배치(1.0초),,,
STAFF11,토루루,활기차고 발랄한 에너지로 손님을 모아오는 최고의 끼쟁이 토루루.,치어리더,레스토랑으로 손님 자동 호출(15.0초),6,스킬 타임 동안 0.5초마다 호출 버튼 누름,7초,150초,코인,0,0,,코인,30000,120,손님 자동 호출(15.5초),60000,140,손님 자동 호출(14.0초),90000,160,손님 자동 호출(13.5초),90000,180,손님 자동 호출(13.0초),,,
STAFF12,젠틀 토루루,깔끔한 매너로 손님들 마음까지 정중히 모시는 신사 토루루.,치어리더,레스토랑으로 손님 자동 호출(14.0초),6,스킬 타임 동안 0.5초마다 호출 버튼 누름,10초,150초,코인,50000,150,,코인,75000,225,손님 자동 호출(14.5초),112500,300,손님 자동 호출(13.0초),168750,375,손님 자동 호출(12.5초),253125,450,손님 자동 호출(12.0초),,,
STAFF13,토루 번,빵 냄새를 맡고 손님보다 더 흥분한 토루루.,치어리더,레스토랑으로 손님 자동 호출(13.0초),6,스킬 타임 동안 0.5초마다 호출 버튼 누름,13초,150초,코인,570000,2500,,코인,855000,3750,손님 자동 호출(13.5초),1282500,5000,손님 자동 호출(12.0초),1923750,6250,손님 자동 호출(11.5초),2885625,7500,손님 자동 호출(11.0초),,,
STAFF14,차이나 걸 토루루,만두처럼 쫀득한 애교로 손님을 홀리는 토루루.,치어리더,레스토랑으로 손님 자동 호출(12.0초),6,스킬 타임 동안 0.5초마다 호출 버튼 누름,16초,150초,코인,1350000,5800,,코인,2025000,8700,손님 자동 호출(12.5초),3037500,11600,손님 자동 호출(11.0초),4556250,14500,손님 자동 호출(10.5초),6834375,17400,손님 자동 호출(10.0초),,,
STAFF15,토루꾼,나무 대신 손님을 베어오는 씩씩한 토루루.,치어리더,레스토랑으로 손님 자동 호출(11.0초),6,스킬 타임 동안 0.5초마다 호출 버튼 누름,20초,100초,다이아,2300000,9000,,코인,3450000,13500,손님 자동 호출(11.5초),5175000,18000,손님 자동 호출(10.0초),7762500,22500,손님 자동 호출(9.5초),11643750,27000,손님 자동 호출(9.0초),,,
STAFF16,심드렁한 도치,심드렁한 표정 뒤에 밤낮없이 연습하는 노력파 도치.,주방장,주방에서 음식 제작 효율 5.0%상승,6,버닝(패시브 x2.0 배속),15초,200초,코인,20000,30,,코인,30000,100,음식 제작 효율 5.5%상승,45000,120,음식 제작 효율 6.0%상승,67500,140,음식 제작 효율 6.5%상승,101250,160,음식 제작 효율 7.0%상승,,,
STAFF17,힙스터 도치,자존심이 강한 힙스터. 오늘도 레시피 연구에 음악은 필수!,주방장,주방에서 음식 제작 효율 5.5%상승,6,버닝(패시브 x2.0 배속),18초,200초,코인,40000,100,,코인,60000,130,음식 제작 효율 6.0%상승,90000,150,음식 제작 효율 6.5%상승,165000,170,음식 제작 효율 7.0%상승,202500,190,음식 제작 효율 7.5%상승,,,
STAFF18,케이크 루파,달콤한 실력을 갖고 있는 천재 요리사.,주방장,주방에서 음식 제작 효율 6.0%상승,6,버닝(패시브 x2.0 배속),21초,200초,코인,135000,450,,코인,202500,675,음식 제작 효율 6.5%상승,303750,900,음식 제작 효율 7.0%상승,455625,1125,음식 제작 효율 7.5%상승,683437,1350,음식 제작 효율 8.0%상승,,,
STAFF19,차이나 루파,귀여운 딤섬 전문가. 최고의 요리실력!,주방장,주방에서 음식 제작 효율 6.5%상승,6,버닝(패시브 x2.0 배속),24초,150초,코인,1300000,5400,,코인,1950000,8100,음식 제작 효율 7.0%상승,2925000,10800,음식 제작 효율 7.5%상승,4387500,13500,음식 제작 효율 8.0%상승,6581250,16200,음식 제작 효율 8.5%상승,,,
STAFF20,루파 도령,작은 손으로도 최고의 맛을 내는 천재 꼬마 요리사,주방장,주방에서 음식 제작 효율 7.0%상승,6,버닝(패시브 x2.0 배속),27초,150초,코인,2000000,8300,,코인,3000000,12450,음식 제작 효율 7.5%상승,4500000,16600,음식 제작 효율 8.0%상승,6750000,20750,음식 제작 효율 8.5%상승,10125000,24900,음식 제작 효율 9.0%상승,,,
STAFF21,판다 멜로,불평이 많지만 어디든 깔끔하게 청소하는 멜로.,청소부,쓰레기 & 코인 수집(기본 속도6.0),6,버닝(패시브 x2.0 배속),10초,100초,코인,200000,550,,코인,300000,825,쓰레기 청소(기본 속도6.5),450000,1100,쓰레기 청소(기본 속도7.0),675000,1375,쓰레기 청소(기본 속도7.5),1012500,1650,쓰레기 청소(기본 속도8.0),,,
STAFF22,성실한 멜로,무슨일인지 묵묵하게 가게를 빛내주는 청소의 달인.,청소부,쓰레기 & 코인 수집(기본 속도7.0),7,버닝(패시브 x2.0 배속),13초,100초,코인,350000,800,,코인,525000,1200,쓰레기 청소(기본 속도7.5),787500,1600,쓰레기 청소(기본 속도8.0),1181250,2000,쓰레기 청소(기본 속도8.5),1771875,2400,쓰레기 청소(기본 속도9.0),,,
STAFF23,감자튀김 멜로,흘린 감자튀김을 그만 주워먹어야하는 멜로.,청소부,쓰레기 & 코인 수집(기본 속도8.0),8,버닝(패시브 x2.0 배속),16초,100초,코인,990000,2600,,코인,1485000,3900,쓰레기 청소(기본 속도8.5),2227500,5200,쓰레기 청소(기본 속도9.0),3341250,6500,쓰레기 청소(기본 속도9.5),5011875,7800,쓰레기 청소(기본 속도10.0),,,
STAFF24,차이나 멜로,청소하다 말고 갑자기 쿵푸 동작을 보여주는 엉뚱한 멜로.,청소부,쓰레기 & 코인 수집(기본 속도9.0),9,버닝(패시브 x2.0 배속),18초,100초,코인,1990000,6300,,코인,2985000,9450,쓰레기 청소(기본 속도9.5),4477500,1260,쓰레기 청소(기본 속도10.0),6716250,15750,쓰레기 청소(기본 속도10.5),10074375,18900,쓰레기 청소(기본 속도11.0),,,
STAFF25,멜로 도령,어째서인지 뒷짐을 지고 헛기침을 하며 청소하는 멜로.,청소부,쓰레기 & 코인 수집(기본 속도10.0),10,버닝(패시브 x2.0 배속),20초,80초,코인,2700000,8600,,코인,4050000,12900,쓰레기 청소(기본 속도10.5),6075000,17200,쓰레기 청소(기본 속도11.0),9112500,21500,쓰레기 청소(기본 속도11.5),1368750,25800,쓰레기 청소(기본 속도12.0),,,
STAFF26,베르베르,강렬한 카리스마로 진상을 퇴치. 사실은 귀여운걸 좋아함.,가드,진상 손님 퇴치(퇴치 속도7.0),10,버닝(패시브 x2.0 배속),30초,50초,코인,600000,1200,,코인,900000,1800,도둑 퇴치(퇴치 속도6.5),1350000,2400,도둑 퇴치(퇴치 속도6.0),2025000,3000,도둑 퇴치(퇴치 속도5.5),3037500,3600,도둑 퇴치(퇴치 속도5.0),,,
STAFF27,고든 팬지,부드러운 미소로 주방을 지휘하는 베테랑 요리사. 고든 팬지!,주방장,주방에서 음식 제작 효율 12.0%상승,10,버닝(패시브 x2.0 배속),60초,250초,다이아,250,11000,,다이아,25,16500,음식 제작 효율 13.0%상승,50,22000,음식 제작 효율 14.0%상승,75,27500,음식 제작 효율 15.0%상승,100,33000,음식 제작 효율 16.0%상승,,,
STAFF28,웨이트리스 치치,,웨이터,음식을 손님에게 자동 배달(기본 속도10.0),10,버닝(패시브 x2.0 배속),20초,150초,코인,1800000,8200,,코인,2700000,12300,음식 자동 배달(기본 속도10.5),4050000,16400,음식 자동 배달(기본 속도11.0),6075000,20500,음식 자동 배달(기본 속도11.5),9112500,24600,음식 자동 배달(기본 속도12.0),,,
STAFF29,셰프 바라,,주방장,주방에서 음식 제작 효율 7.5%상승,7,버닝(패시브 x2.0 배속),30초,150초,코인,2700000,8600,,코인,4050000,12900,주방에서 음식 제작 효율 8.0%상승,6075000,17200,주방에서 음식 제작 효율 8.5%상승,9112500,21500,주방에서 음식 제작 효율 9.0%상승,1368750,25800,주방에서 음식 제작 효율 9.5%상승,,,
